rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
rec-0000-dup-0,,katherine,morcom,2913,,,0633 6847 306 5795,108916.92,62,29756.1,843,m,80.167
rec-0000-dup-1,male,katerine,morcoiii,2912,sydney,,0633 6847 3096 5795,108916.92,62,29756.1,984,m,80.167
rec-0000-org,male,katherine,morcom,2913,sydney,03 8093 9134,0633 6847 3096 5795,108916.92,62,29756.1,84,m,80.167
rec-0001-org,male,monique,matthews,2902,melbourne,08 9570 4572,9440 3860 4694 4929,62604.57,49,44710.9,63,m,80.032
rec-0002-dup-0,male,ludcy,riveahs,2692,mebourne,,4031 4397 3517 9828,56959.46,63,31228.5,67,f,73.137
rec-0002-dup-1,male,luky,rifers,260q,melbiurne,,4031 4397 3517 9828,56959.46,63,31228.5,67,f,73.137
rec-0002-org,male,lucy,rivers,2602,melbourne,08 4988 6128,4031 4397 3517 9828,56959.46,63,31228.5,67,f,73.137
rec-0003-dup-0,male,alista,mieil,261r,canberra,,1352 6641 1240 5401,15119.84,77,99354.7,8,f,73.327
rec-0003-dup-1,,aliza,miell,261e,canbeera,02 9036 9494,13522 6641 1240 5401,15119.84,77,99354.7,87,f,73.327
rec-0003-org,male,alisa,miell,2614,canberra,02 9036 9494,1352 6641 1240 5401,15119.84,77,99354.7,87,f,73.327
rec-0004-org,male,macy,green,2611,melbourne,02 8441 4507,5769 4644 7439 8188,61251.22,86,105506.0,54,na,74.586
rec-0005-org,male,kristin,sheremetjev,2902,melbourne,07 1646 2892,9072 7844 3652 0355,59943.95,44,72153.3,98,na,80.312
rec-0006-org,male,tahnee,laverty,2603,sydney,03 2912 0901,3922 4846 6753 0964,19759.56,12,89071.1,85,f,71.286
rec-0007-dup-0,,taylah,whide,2615,sydnei,,8105 3610 7264 5675,77186.96,2,57075.4,878,m,75.175
rec-0007-org,female,taylah,white,2615,sydney,02 4475 6345,8105 3610 7264 5675,77186.96,2,57075.4,87,m,75.175
rec-0008-org,male,chloe,mason,2617,sydney,02 3851 0448,3354 6673 1633 4896,52969.90,117,81345.7,41,na,76.919
rec-0009-org,male,teileah,agius,2615,sydney,07 5690 6338,8494 5190 7401 5197,17885.72,73,109886.5,15,f,72.856
rec-0010-org,female,joselyn,manson,2603,canberra,03 9616 4353,7804 4610 8695 3193,20561.43,113,22723.0,53,f,74.298
rec-0011-dup-0,female,tiffani,hawest,261r,brisbane,,9195 6165 1088 50445,41609.98,3,231499.3,53,f,75.847
rec-0011-dup-1,,tivvany,hawest,2614,,,9195 6165 1088 5445,41609.98,3,231499.3,53,f,75.847
rec-0011-org,female,tiffany,hawes,2614,brisbane,02 2149 5636,9195 6165 1088 5445,41609.98,3,231499.3,53,f,75.847
rec-0012-dup-0,,elka,perryman,2603,sydney,,395 2417 2217 1623,62011.32,116,97336.7,102,m,80.007
rec-0012-org,female,ella,berryman,2603,sydney,03 2683 1377,3954 2417 2217 1623,62011.32,116,97336.7,102,m,80.007
rec-0013-org,male,emiily,bassani,2614,sydney,08 8109 9492,8061 1763 1394 3606,61546.83,30,95034.2,104,m,80.141
rec-0014-dup-0,,tanielle,humberdrosts,2904,sydn4y,07 9914 2546,24891 2728 1329 8782,49975.03,23,81778.5,30,na,74.674
rec-0014-dup-1,female,danielle,humberdroas,missing,sydnry,,2489 278 1329 8782,49975.03,23,81778.5,30,na,74.674
rec-0014-dup-2,female,danille,humbeahdross,2994,,07 9914 2546,2489 2728 1329 8782,49975.03,23,81778.5,03,na,74.674
rec-0014-org,female,danielle,humberdross,2904,sydney,07 9914 2546,2489 2728 1329 8782,49975.03,23,81778.5,30,na,74.674
rec-0015-dup-0,,mateline,mcsp0rran,2602,melbourne,,48221870 6108 8011,63876.78,18,75586.4,23,f,69.607
rec-0015-org,male,madeline,mcsporran,2602,melbourne,03 2332 5451,4822 1870 6108 8011,63876.78,18,75586.4,23,f,69.607
rec-0016-org,female,mia,plane,2905,hobart,07 9708 5018,4950 7460 5457 3389,53103.03,95,28399.3,44,m,77.126
rec-0017-dup-0,,elly,ebb,2624,melbourne,04 4335 2077,8685 8286 879 6711,37435.15,119,123117.3,95,f,76.431
rec-0017-dup-1,,ely,ebb,2714,melbourne,04 4335 2077,8685 828 6879 6711,37435.15,119,123117.3,90,f,76.431
rec-0017-org,female,elly,webb,2614,melbourne,04 4335 2077,8685 8286 6879 6711,37435.15,119,123117.3,90,f,76.431
rec-0018-dup-0,female,pethany,powron,261u,btisbane,,2982 0094 8529 3768,40630.69,77,89983.8,21,f,74.188
rec-0018-org,female,bethany,bowron,2617,brisbane,07 6965 7834,2982 0094 8529 3768,40630.69,77,89983.8,21,f,74.188
rec-0019-dup-0,female,madison,maynaahd,2996,,,4597 4434 16900 2957,69324.69,22,159242.5,28,f,71.536
rec-0019-org,female,madison,maynard,2906,canberra,03 5515 4148,4597 4434 1690 2957,69324.69,22,159242.5,28,f,71.536
rec-0020-org,female,emiily,stancombe,2615,sydney,02 6941 1835,4165 6693 5102 2579,53492.95,96,73734.0,85,na,79.175
rec-0021-org,male,jessica,paddon,2617,perth,07 0767 1564,6508 6412 7128 5862,30390.46,71,62726.7,13,m,77.235
rec-0022-dup-0,female,apby,stephenson,missing,brixbane,,1307 7219 35646 0598,68587.76,13,206694.2,103,f,80.602
rec-0022-dup-1,,abby,stephejson,missing,brisbane,,1307 72193 3546 0598,68587.76,13,206694.2,103,f,80.602
rec-0022-org,female,abby,stephenson,2906,brisbane,02 7895 8833,1307 7219 3546 0598,68587.76,13,206694.2,103,f,80.602
rec-0023-org,female,amber,lodge,2905,melbourne,02 8049 5094,5233 5524 1889 2624,38821.32,94,131255.3,78,na,76.064
rec-0024-org,male,cassandra,paterson,2605,sydney,08 5814 2773,6223 2172 8708 4650,72858.27,28,18774.6,27,na,70.737
rec-0025-dup-0,female,chelsea,ekan,missing,oerth,,9032 4726 1483 5213,51712.56,65,155943.9,7,f,76.183
rec-0025-org,female,chelsea,egan,2600,perth,08 6525 9221,9032 4726 1483 5213,51712.56,65,155943.9,57,f,76.183
rec-0026-dup-0,male,emiili,kojitcin,290w,melbouahne,,4672 3522 3410 0673,37603.48,97,141719.4,62,f,64.480
rec-0026-dup-1,male,emiili,kojitcin,29p3,,03 3247 4893,4672 35222 3410 0673,37603.48,97,141719.4,62,f,64.480
rec-0026-org,male,emiily,kositcin,2903,melbourne,03 3247 4893,4672 3522 3410 0673,37603.48,97,141719.4,62,f,64.480
rec-0027-org,female,isabella,palethorpe,2906,perth,02 4534 1940,4697 2770 3738 3894,55691.17,45,62672.2,52,na,70.085
rec-0028-dup-0,,jsesica,harbottl,2905,peahth,03 9095 1420,7234 0668 1390 996,81919.94,71,81005.9,32,m,78.007
rec-0028-dup-1,,zessica,harbottle,missing,perth,,72354 0668 1390 9996,81919.94,71,81005.9,32,m,78.007
rec-0028-org,male,jessica,harbottle,2905,perth,03 9095 1420,7234 0668 1390 9996,81919.94,71,81005.9,32,m,78.007
rec-0029-org,male,chelsea,prak,2913,perth,04 5539 5062,9967 2343 1605 4611,34354.39,108,9824.0,25,na,79.753
rec-0030-dup-0,female,annah,warnokk,26q4,peth,03 7762 3903,2061 8482 89075 1417,41420.07,105,48473.9,35,na,75.238
rec-0030-dup-1,,hznnah,warnock,2614,perdh,03 7762 3903,2061 848 9075 1417,41420.07,105,48473.9,3,na,75.238
rec-0030-org,female,hannah,warnock,2614,perth,03 7762 3903,2061 8482 9075 1417,41420.07,105,48473.9,35,na,75.238
rec-0031-dup-0,,kajey,mcneill,2905,s7dney,,6205 9085 0188 0069,46830.17,88,97687.9,974,m,78.313
rec-0031-dup-1,female,kasey,mkneill,2805,jydney,,6205 9085 0188 0069,46830.17,88,97687.9,294,m,78.313
rec-0031-dup-2,,kasec,mcnill,29p5,sydney,,6205 9085 0188 0069,46830.17,88,97687.9,94,m,78.313
rec-0031-org,female,kasey,mcneill,2905,sydney,02 0711 7607,6205 9085 0188 0069,46830.17,88,97687.9,94,m,78.313
rec-0032-dup-0,,piz,berry,2005,sysney,,4997 1652 2814 1932,25696.57,78,52458.8,59,na,71.563
rec-0032-org,male,pia,berry,2905,sydney,04 3793 5122,4997 1652 2814 1932,25696.57,78,52458.8,59,na,71.563
rec-0033-dup-0,male,ela,camobell,2694,sydjey,,6272 2297 2447 8162,76092.20,4,33876.8,89,f,83.325
rec-0033-org,male,ella,campbell,2604,sydney,07 2010 3360,6272 2297 2447 8162,76092.20,4,33876.8,89,f,83.325
rec-0034-dup-0,male,kimberlei,wilckins,2913,sydnwy,08 8179 9144,2903 1260 37552 5912,42751.29,119,34550.2,53,m,78.058
rec-0034-org,male,kimberley,wilkins,2913,sydney,08 8179 9144,2903 1260 3752 5912,42751.29,119,34550.2,35,m,78.058
rec-0035-org,female,hollie,mew,2605,melbourne,07 6129 5050,0181 7911 9467 9358,81101.67,96,25843.9,73,m,83.413
rec-0036-dup-0,,jacinda,fittspatrick,2606,jydney,,8407 9786 5581 6597,39504.73,116,139096.9,99,f,64.252
rec-0036-dup-1,male,jacinda,fitzpatrlck,2606,sydnry,,8407 9786 5581 6597,39504.73,116,139096.9,97,f,64.252
rec-0036-dup-2,male,jacinta,vitzpatrick,missing,zydney,03 3935 2928,8407 97865581 6597,39504.73,116,139096.9,989,f,64.252
rec-0036-org,male,jacinta,fitzpatrick,2606,sydney,03 3935 2928,8407 9786 5581 6597,39504.73,116,139096.9,99,f,64.252
rec-0037-org,female,chloe,petersen,2614,perth,02 3239 0280,5761 1293 6759 3765,23179.18,85,58802.2,10,m,76.098
rec-0038-org,female,lydia,alias,2617,sydney,03 0330 4099,2526 1074 0948 3316,54690.52,71,67577.8,44,m,78.217
rec-0039-dup-0,female,angi,payo,26q1,,07 3415 8538,8188 9509 801 2573,90461.12,44,37216.0,56,na,69.817
rec-0039-org,female,angie,pajo,2611,perth,07 3415 8538,8188 9509 5801 2573,90461.12,44,37216.0,56,na,69.817
rec-0040-dup-0,,libbi,penell,2992,perth,,2241 6466 7084 9670,34532.47,116,78323.9,57,f,72.069
rec-0040-org,male,libby,pennell,2902,perth,02 7527 6930,2241 6466 7084 9670,34532.47,116,78323.9,57,f,72.069
rec-0041-dup-0,,madelin,falifene,missing,melbourne,04 0654 9436,8062 4149 17307780,29552.47,60,93945.8,10,na,67.279
rec-0041-dup-1,,mateline,falivene,2611,melbouahne,,8062 4149 1730 7780,29552.47,60,93945.8,70,na,67.279
rec-0041-org,male,madeline,falivene,2611,melbourne,04 0654 9436,8062 4149 1730 7780,29552.47,60,93945.8,10,na,67.279
rec-0042-org,male,sophie,boileau,2600,sydney,07 8453 5930,5649 6371 1594 2028,64524.61,79,95427.2,101,m,79.811
rec-0043-dup-0,female,pac,lyar,2614,,08 1711 3068,9740 6933 8498 5498,35480.04,113,22087.9,8,na,75.613
rec-0043-dup-1,,pac,lia5,2615,sydney,,9740 6933 8498 57498,35480.04,113,22087.9,98,na,75.613
rec-0043-org,female,pace,liar,2615,sydney,08 1711 3068,9740 6933 8498 5498,35480.04,113,22087.9,98,na,75.613
rec-0044-dup-0,male,kira,mustolino,2611,sydneh,,3249 2625 2223 38515,40328.34,108,22076.9,17,na,68.487
rec-0044-org,male,kiera,musolino,2611,sydney,07 8807 7945,3249 2625 2223 3815,40328.34,108,22076.9,17,na,68.487
rec-0045-org,male,briony,burford,2603,sydney,04 6964 7173,2750 4145 2429 9899,12459.56,119,42269.6,59,na,77.558
rec-0046-dup-0,,ela,daahch,2904,melbourne,,9227 5212  8374 9478,44842.03,5,87514.6,66,m,78.635
